Source_File,Greek_Word
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,κατηγορία
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,κατηγορία
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,κατηγορέω
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,áγορεύω
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,aγορá
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,κατηγορία
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,Oὐσία
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,ποσόν
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,ποιόν
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,πρός
/Users/zahidsyed/OneDrive/The First Teaching/The First Teaching Master/Volume 1/Syntopicon/Volume 7 Excerpts.docx,τι
